MGYG-HGUT-00001	Absent
MGYG-HGUT-00002	Absent
MGYG-HGUT-00003	Absent
MGYG-HGUT-00004	Absent
MGYG-HGUT-00005	Absent
MGYG-HGUT-00006	Present
MGYG-HGUT-00007	Absent
MGYG-HGUT-00008	Absent
MGYG-HGUT-00009	Present
MGYG-HGUT-00010	Absent
MGYG-HGUT-00011	Present
MGYG-HGUT-00012	Present
MGYG-HGUT-00013	Absent
MGYG-HGUT-00014	Absent
MGYG-HGUT-00015	Present
MGYG-HGUT-00016	Absent
MGYG-HGUT-00017	Absent
MGYG-HGUT-00018	Absent
MGYG-HGUT-00019	Present
MGYG-HGUT-00020	Absent
MGYG-HGUT-00021	Present
MGYG-HGUT-00022	Absent
MGYG-HGUT-00023	Absent
MGYG-HGUT-00024	Absent
MGYG-HGUT-00025	Absent
MGYG-HGUT-00026	Absent
MGYG-HGUT-00027	Absent
MGYG-HGUT-00028	Absent
MGYG-HGUT-00029	Absent
MGYG-HGUT-00030	Absent
MGYG-HGUT-00031	Absent
MGYG-HGUT-00032	Absent
MGYG-HGUT-00033	Absent
MGYG-HGUT-00034	Absent
MGYG-HGUT-00035	Absent
MGYG-HGUT-00036	Absent
MGYG-HGUT-00037	Absent
MGYG-HGUT-00038	Absent
MGYG-HGUT-00039	Absent
MGYG-HGUT-00040	Absent
MGYG-HGUT-00041	Absent
MGYG-HGUT-00042	Absent
MGYG-HGUT-00043	Absent
MGYG-HGUT-00044	Absent
MGYG-HGUT-00045	Absent
MGYG-HGUT-00046	Absent
MGYG-HGUT-00047	Absent
MGYG-HGUT-00048	Present
MGYG-HGUT-00049	Absent
MGYG-HGUT-00050	Absent
MGYG-HGUT-00051	Absent
MGYG-HGUT-00052	Absent
MGYG-HGUT-00053	Absent
MGYG-HGUT-00054	Absent
MGYG-HGUT-00055	Absent
MGYG-HGUT-00056	Absent
MGYG-HGUT-00057	Absent
MGYG-HGUT-00058	Absent
MGYG-HGUT-00059	Absent
MGYG-HGUT-00060	Absent
MGYG-HGUT-00061	Absent
MGYG-HGUT-00062	Absent
MGYG-HGUT-00063	Absent
MGYG-HGUT-00064	Absent
MGYG-HGUT-00065	Absent
MGYG-HGUT-00066	Absent
MGYG-HGUT-00067	Absent
MGYG-HGUT-00068	Absent
MGYG-HGUT-00069	Absent
MGYG-HGUT-00070	Absent
MGYG-HGUT-00071	Absent
MGYG-HGUT-00072	Absent
MGYG-HGUT-00073	Absent
MGYG-HGUT-00074	Absent
MGYG-HGUT-00075	Absent
